
PHP CODE SNIFFER VIOLATION SOURCE SUMMARY
-----------------------------------------------------------------------------------------------------
    STANDARD  CATEGORY            SNIFF                                                         COUNT
[ ] Drupal    Commenting          Hook comment hook param doc                                   5
[ ] Drupal    Commenting          Function comment incorrect type hint                          5
[x] Squiz     White space         Superfluous whitespace end file                               4
[x] Squiz     Functions           Function declaration argument spacing spacing after open      4
[x] Squiz     Control structures  For each loop declaration spacing after as                    4
[x] Drupal    Commenting          Inline comment empty                                          4
[x] Drupal    Commenting          File comment spacing after comment                            4
[x] Drupal    Commenting          Doc comment short start space                                 4
[x] Drupal    CSS                 Class definition name spacing seletor single line             4
[x] Drupal    CSS                 Class definition name spacing blank lines found               4
[ ] Drupal    Semantics           Function alias function alias                                 4
[ ] Drupal    Commenting          Function comment throws comment                               4
[x] Squiz     Functions           Function declaration argument spacing no space before hint    3
[x] Squiz     Control structures  Switch declaration space before colon default                 3
[x] Squiz     Control structures  For loop declaration spacing before first                     3
[x] Squiz     Control structures  For loop declaration no space after second                    3
[x] Squiz     Arrays              Array declaration space after double arrow                    3
[x] Drupal    Commenting          Doc comment spacing between                                   3
[ ] Drupal    Functions           Discouraged functions discouraged                             3
[ ] Drupal    Classes             Interface name interface suffix                               3
[x] Squiz     PHP                 Lowercase PHPFunctions call uppercase                         2
[x] Squiz     Functions           Multi line function declaration space before open paren       2
[x] Squiz     CSS                 Colon spacing before                                          2
[x] Squiz     Arrays              Array declaration space in empty array                        2
[x] Drupal    White space         Operator spacing spacing before                               2
[x] Drupal    Commenting          Function comment param name dot                               2
[x] Drupal    Commenting          Doc comment alignment space after star                        2
[x] Drupal    Commenting          Doc comment alignment no space after star                     2
[ ] Squiz     PHP                 Non executable code return not required                       2
[ ] Squiz     Control structures  Switch declaration spacing after default                      2
[ ] Squiz     Arrays              Array declaration no key specified                            2
[ ] Generic   Naming conventions  Upper case constant name class constant not upper case        2
[ ] Drupal    Semantics           Remote address remote address                                 2
[ ] Drupal    Semantics           Empty install empty install                                   2
[ ] Drupal    Formatting          Space inline if space inline else                             2
[ ] Drupal    Commenting          Variable comment empty var                                    2
[x] Squiz     White space         Superfluous whitespace start file                             1
[x] Squiz     Functions           Multi line function declaration brace indent                  1
[x] Squiz     Functions           Function declaration argument spacing spacing after hint      1
[x] Squiz     Control structures  For loop declaration spacing before second                    1
[x] Squiz     Control structures  For each loop declaration spacing before as                   1
[x] Squiz     CSS                 Colon spacing after                                           1
[x] PEAR      Functions           Function call signature space after close bracket             1
[x] Drupal    White space         Object operator spacing after                                 1
[x] Drupal    Methods             Method declaration abstract after visibility                  1
[x] Drupal    Commenting          Function comment see punctuation                              1
[ ] Squiz     CSS                 Empty class definition found                                  1
[ ] Drupal    Commenting          Function comment see additional text                          1
[ ] Drupal    Commenting          Function comment invalid type hint                            1
[ ] Drupal    Commenting          Function comment invalid return not void                      1
[ ] Drupal    Classes             Class declaration close brace same line                       1
-----------------------------------------------------------------------------------------------------
A TOTAL OF 109570 SNIFF VIOLATIONS WERE FOUND IN 238 SOURCES
-----------------------------------------------------------------------------------------------------
PHPCBF CAN FIX THE 166 MARKED SOURCES AUTOMATICALLY (99383 VIOLATIONS IN TOTAL)
-----------------------------------------------------------------------------------------------------


